Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Caribbean small states,CSS,Fixed broadband subscriptions,IT.NET.BBND,389722,430207,458351,380142,494979,574382,575162,,,
Cuba,CUB,Fixed broadband subscriptions,IT.NET.BBND,8160,14400,33500,98800,183000,232000,297000,320000,327000,
Curacao,CUW,Fixed broadband subscriptions,IT.NET.BBND,40000,42700,49300,51800,53300,58500,60400,61000,,
Cayman Islands,CYM,Fixed broadband subscriptions,IT.NET.BBND,27400,24500,31200,,51000,32000,32000,40300,,
Cyprus,CYP,Fixed broadband subscriptions,IT.NET.BBND,261000,278000,296000,314000,327000,332000,341000,349000,357000,
Czechia,CZE,Fixed broadband subscriptions,IT.NET.BBND,2950000,3070000,3150000,3220000,3740000,3850000,3950000,4030000,4100000,
Germany,DEU,Fixed broadband subscriptions,IT.NET.BBND,30700000,31900000,33200000,34200000,35200000,36200000,36900000,37500000,38400000,
Djibouti,DJI,Fixed broadband subscriptions,IT.NET.BBND,24200,24300,24400,25500,24400,25100,15600,16100,17000,
Dominica,DMA,Fixed broadband subscriptions,IT.NET.BBND,15200,15500,15400,11500,15200,18300,14100,13900,,
Denmark,DNK,Fixed broadband subscriptions,IT.NET.BBND,2400000,2460000,2510000,2540000,2540000,2590000,2630000,2650000,2650000,
Dominican Republic,DOM,Fixed broadband subscriptions,IT.NET.BBND,686000,761000,821000,861000,930000,1030000,1150000,1200000,1260000,
Algeria,DZA,Fixed broadband subscriptions,IT.NET.BBND,2270000,2860000,3210000,3070000,3580000,3790000,4180000,4710000,5540000,
East Asia & Pacific (excluding high income),EAP,Fixed broadband subscriptions,IT.NET.BBND,301262306,350329750,426573136,445595846,494878357,536159450,595137117,652624450,,
Early-demographic dividend,EAR,Fixed broadband subscriptions,IT.NET.BBND,98206435,110489115,118977804,130214901,139478095,163500628,185919719,197097026,,
East Asia & Pacific,EAS,Fixed broadband subscriptions,IT.NET.BBND,378200000,429800000,507900000,528700000,580200000,623300000,685600000,744900000,794400000,
Europe & Central Asia (excluding high income),ECA,Fixed broadband subscriptions,IT.NET.BBND,27752125,30300016,33062975,35899610,38050221,44003648,47914757,50275629,,
Europe & Central Asia,ECS,Fixed broadband subscriptions,IT.NET.BBND,224300000,233500000,246200000,255000000,262600000,275500000,285500000,293100000,303500000,
Ecuador,ECU,Fixed broadband subscriptions,IT.NET.BBND,1490000,1610000,1780000,1950000,2090000,2370000,2480000,2690000,2890000,
"Egypt, Arab Rep.",EGY,Fixed broadband subscriptions,IT.NET.BBND,3830000,4470000,5230000,6620000,7570000,9340000,10800000,12000000,13600000,
Euro area,EMU,Fixed broadband subscriptions,IT.NET.BBND,114419012,118710944,123156916,126665017,129827746,133712574,137133402,140546555,,
Eritrea,ERI,Fixed broadband subscriptions,IT.NET.BBND,500,600,1000,,3000,5000,5000,5640,,
Spain,ESP,Fixed broadband subscriptions,IT.NET.BBND,13500000,14100000,14700000,15200000,15600000,16200000,16700000,17100000,18200000,
Estonia,EST,Fixed broadband subscriptions,IT.NET.BBND,390000,414000,428000,441000,449000,456000,498000,514000,516000,
Ethiopia,ETH,Fixed broadband subscriptions,IT.NET.BBND,478000,559000,63000,,159000,212000,488000,566000,,
European Union,EUU,Fixed broadband subscriptions,IT.NET.BBND,139127853,144211616,149810842,154290371,158462238,163762167,168367743,172887839,,
Fragile and conflict affected situations,FCS,Fixed broadband subscriptions,IT.NET.BBND,10000000,11100000,15800000,16200000,18700000,22200000,22500000,22700000,25500000,
Finland,FIN,Fixed broadband subscriptions,IT.NET.BBND,1730000,1710000,1710000,1740000,1800000,1850000,1860000,1910000,1980000,
Fiji,FJI,Fixed broadband subscriptions,IT.NET.BBND,12700,12300,12100,19100,21500,23100,23100,23300,,
France,FRA,Fixed broadband subscriptions,IT.NET.BBND,26900000,27700000,28500000,29100000,29800000,30600000,31500000,32000000,32300000,
Faroe Islands,FRO,Fixed broadband subscriptions,IT.NET.BBND,17800,18000,18000,18200,18200,18400,18400,18700,,
"Micronesia, Fed. Sts.",FSM,Fixed broadband subscriptions,IT.NET.BBND,3280,3170,3780,,5000,6000,6000,6520,,
Gabon,GAB,Fixed broadband subscriptions,IT.NET.BBND,11100,15000,14700,21100,24400,44600,63000,80300,,
United Kingdom,GBR,Fixed broadband subscriptions,IT.NET.BBND,24700000,25500000,26000000,26600000,26900000,27300000,27800000,28100000,28200000,
Georgia,GEO,Fixed broadband subscriptions,IT.NET.BBND,636000,681000,776000,857000,937000,968000,1010000,1080000,1100000,
Ghana,GHA,Fixed broadband subscriptions,IT.NET.BBND,73100,86600,56800,61300,58500,78400,115000,207000,223000,
