Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Colombia,COL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.365420014,0.270509988,0.26109001,0.312330008,0.32201001,0.289400011,,,,
Comoros,COM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Cabo Verde,CPV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Costa Rica,CRI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.436650008,0.443349987,0.425870001,0.371439993,,0.33002001,0.273849994,0.337889999,,
Caribbean small states,CSS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Cuba,CUB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.428539991,0.342229992,0.430660009,0.536909997,0.553080022,0.518379986,0.322820008,0.360119998,,
Curacao,CUW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Cayman Islands,CYM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Cyprus,CYP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.47529,0.519699991,0.542590022,0.614049971,0.709450006,0.836539984,0.800300002,0.745270014,,
Czechia,CZE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.916890025,1.670029998,1.768550038,1.899060011,1.927340031,1.985990047,1.996009946,1.96420002,,
Germany,DEU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.933789968,2.94039011,3.047100067,3.110110044,3.167010069,3.131360054,3.128819942,3.132359982,,
Djibouti,DJI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Dominica,DMA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Denmark,DNK,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.054970026,3.092829943,2.931240082,2.966029882,2.896850109,2.972579956,2.761420012,2.890510082,,
Dominican Republic,DOM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Algeria,DZA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,0.478650004,,,,,,,
East Asia & Pacific (excluding high income),EAP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.905481784,1.903154129,1.900086072,1.912052398,2.023962699,2.197345186,2.350335472,2.506891429,,
Early-demographic dividend,EAR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.720801386,0.753508217,0.719793241,0.735393199,0.76171747,0.824017123,,,,
East Asia & Pacific,EAS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.322167938,2.339438389,2.315279331,2.355162403,2.394202189,2.578883235,2.628832074,2.821145145,,
Europe & Central Asia (excluding high income),ECA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.694319072,0.801488339,0.811015206,0.830287899,0.828587316,0.850288874,0.85838914,0.811160103,,
Europe & Central Asia,ECS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.000037043,1.984724899,2.037495208,2.075593908,2.133336072,2.199531356,2.182708512,1.970683237,,
Ecuador,ECU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
"Egypt, Arab Rep.",EGY,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.718580008,0.70848,0.644860029,0.688390017,0.796169996,0.915639997,0.911750019,1.019680023,1.033560038,
Euro area,EMU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.1352211,2.139198435,2.178894323,2.211915987,2.254943402,2.328515214,2.29142199,2.278163952,,
Eritrea,ERI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Spain,ESP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.221789956,1.189859986,1.209769964,1.241510034,1.250249982,1.409100056,1.411219954,1.43532002,,
Estonia,EST,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.46776998,1.243059993,1.276849985,1.409989953,1.620579958,1.753149986,1.767660022,1.782050014,,
Ethiopia,ETH,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,0.274370015,,,,,,,
European Union,EUU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.1194172,2.118991239,2.154034678,2.185526018,2.223651822,2.29723757,2.260208551,2.24283574,,
Fragile and conflict affected situations,FCS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Finland,FIN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.871959925,2.724420071,2.727869987,2.75748992,2.7996099,2.912430048,2.988500118,2.96468997,,
Fiji,FJI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
France,FRA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.227020025,2.222379923,2.198879957,2.196660042,2.191790104,2.274640083,2.218080044,2.233119965,,
Faroe Islands,FRO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Gabon,GAB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
United Kingdom,GBR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.275660038,2.320519924,2.326020002,2.711240053,2.670799971,2.938829899,2.897109985,,,
Georgia,GEO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.293969989,0.280250013,0.266449988,0.275730014,0.281969994,0.297650009,0.248750001,0.234699994,0.252829999,
Ghana,GHA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Gibraltar,GIB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Guinea,GIN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
"Gambia, The",GMB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,0.069329999,,,,,,
Guinea-Bissau,GNB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Equatorial Guinea,GNQ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Greece,GRC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.966050029,1.005290031,1.152279973,1.21370995,1.274989963,1.511489987,1.457820058,1.485960007,,
Grenada,GRD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Greenland,GRL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Guatemala,GTM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.03064,0.02311,0.029549999,0.029379999,0.026419999,0.04888,0.058630001,,,
Guam,GUM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Guyana,GUY,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
High income,HIC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.457891287,2.513896383,2.543541102,2.617754734,2.696395901,2.877759496,2.841021545,2.931915173,,
"Hong Kong SAR, China",HKG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.761829972,0.791499972,0.835189998,0.863300025,0.925570011,0.992359996,0.970260024,1.07288003,1.103389978,
Honduras,HND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.01497,,0.03994,0.063940004,0.059969999,,,,,
Heavily indebted poor countries (HIPC),HPC,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Croatia,HRV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.82378,0.844330013,0.841499984,0.943120003,1.070269942,1.229889989,1.231240034,1.403229952,,
Haiti,HTI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Hungary,HUN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.339589953,1.179870009,1.317020059,1.507750034,1.472910047,1.592519999,1.643790007,1.394729972,,
IBRD only,IBD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.359204589,1.377956069,1.348221502,1.402638766,1.466270682,1.617374851,1.837319279,1.948047269,,
IDA & IBRD total,IBT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.32848261,1.363289914,1.317614008,1.390345166,1.424026819,1.60360591,1.804798013,1.923100452,,
IDA total,IDA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
IDA blend,IDB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,0.230270274,,,,,
Indonesia,IDN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,0.245350003,0.238049999,0.226319999,0.271290004,0.280680001,,,,
IDA only,IDX,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Isle of Man,IMN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
India,IND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.693099976,0.669839978,0.66602999,0.66000998,0.659420013,0.645579994,,,,
Not classified,INX,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Ireland,IRL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.179739952,1.177160025,1.248659968,1.106979966,1.160680056,1.145509958,1.110649943,0.962639987,,
"Iran, Islamic Rep.",IRN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.393830001,,0.759829998,,0.788290024,,0.72665,,,
Iraq,IRQ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.040169999,0.03737,0.045960002,0.042789999,0.03266,0.04053,0.0407,,,
Iceland,ISL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.181380033,2.110110044,2.083650112,2.000809908,2.34017992,2.486399889,2.778749943,2.600399971,,
Israel,ISR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,4.298409939,4.588220119,4.743060112,4.914509773,5.330989838,5.79681015,5.782760143,6.019239902,,
Italy,ITA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.338500023,1.366420031,1.370129943,1.424430013,1.461590052,1.506600022,1.426579952,1.390140057,,
Jamaica,JAM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
