Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Channel Islands,CHI,Fixed broadband subscriptions,IT.NET.BBND,427500.0,558000.0,602000.0,919000.0,610000.0,719000.0,762000.0,800000.0,1980000.0
Chile,CHL,Fixed broadband subscriptions,IT.NET.BBND,2720000.0,2900000.0,3060000.0,3250000.0,3430000.0,3760000.0,4280000.0,4450000.0,4520000.0
China,CHN,Fixed broadband subscriptions,IT.NET.BBND,277000000.0,323000000.0,394000000.0,407000000.0,449000000.0,484000000.0,536000000.0,590000000.0,636000000.0
Cote d'Ivoire,CIV,Fixed broadband subscriptions,IT.NET.BBND,110000.0,136000.0,143000.0,176000.0,217000.0,261000.0,335000.0,380000.0,425000.0
Cameroon,CMR,Fixed broadband subscriptions,IT.NET.BBND,20400.0,365000.0,382000.0,396000.0,401000.0,723000.0,601000.0,603000.0,1980000.0
"Congo, Dem. Rep.",COD,Fixed broadband subscriptions,IT.NET.BBND,1000.0,1000.0,1000.0,4620.0,11900.0,31000.0,31000.0,33000.0,1980000.0
"Congo, Rep.",COG,Fixed broadband subscriptions,IT.NET.BBND,427500.0,558000.0,602000.0,919000.0,610000.0,719000.0,15100.0,26300.0,78400.0
Colombia,COL,Fixed broadband subscriptions,IT.NET.BBND,5530000.0,5910000.0,6330000.0,6680000.0,6950000.0,7760000.0,8430000.0,8800000.0,8910000.0
Comoros,COM,Fixed broadband subscriptions,IT.NET.BBND,1600.0,1630.0,1640.0,1530.0,1280.0,1190.0,1230.0,1830.0,3300.0
Cabo Verde,CPV,Fixed broadband subscriptions,IT.NET.BBND,16600.0,15500.0,15000.0,15700.0,20300.0,24800.0,30500.0,34100.0,37800.0
Costa Rica,CRI,Fixed broadband subscriptions,IT.NET.BBND,559000.0,639000.0,744000.0,835000.0,905000.0,993000.0,1060000.0,1110000.0,1150000.0
Caribbean small states,CSS,Fixed broadband subscriptions,IT.NET.BBND,389722.0,430207.0,458351.0,380142.0,494979.0,574382.0,575162.0,800000.0,1980000.0
Cuba,CUB,Fixed broadband subscriptions,IT.NET.BBND,8160.0,14400.0,33500.0,98800.0,183000.0,232000.0,297000.0,320000.0,327000.0
Curacao,CUW,Fixed broadband subscriptions,IT.NET.BBND,40000.0,42700.0,49300.0,51800.0,53300.0,58500.0,60400.0,61000.0,1980000.0
