Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,366.3228539,387.1762034,432.3240257,455.2439629,449.2284676,462.8790713,492.2631428,467.359825,495.9788972
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,43594.1941,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393,52496.84417,55509.39318,53431.18571
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,12568.29651,12836.56663,14294.44702,16181.60737,16475.16148,16450.87751,19144.06855,19502.81693,22637.79501
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103,85897.78433,93446.43445,93245.79521,99564.71003
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,61852.07365,55950.14854,55806.57091,60783.35331,60568.10853,56785.94024,66912.17501,67627.30823,74589.13802
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,13433.9203,13649.85205,14879.90862,15659.48087,14495.71672,13114.81547,16216.57065,15451.13196,17067.81362
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,8016.445595,8094.390167,8817.045608,9905.406383,10143.86022,10408.71955,12617.5051,12662.58267,12614.06174
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,1814.718551,1862.595971,1964.299303,2130.866194,2141.768362,2179.729348,2455.981276,2308.706547,2530.846593
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1415.000097,1441.720173,1496.089518,1610.696416,1555.226605,1555.603707,1672.326573,1604.87727,1736.860911
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,467.9145805,442.3104721,436.5845347,528.2560198,557.0441613,507.5212301,558.0340773,642.6122658,627.5021817
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2439.351894,2093.107286,2211.633099,2694.434132,2488.424667,1993.586672,2516.162551,2620.838043,2477.978455
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6248.514905,5959.842504,6479.532313,6816.968183,6472.545449,5339.687114,6222.621644,6674.596019,6947.359287
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1329.370482,1365.484034,1423.924803,1540.711323,1519.263864,1527.16991,1584.124502,1489.495663,1590.312377
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3415.062667,3608.966066,3893.095723,4294.965105,4380.781192,3539.22662,3971.444074,4323.313627,4850.984158
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,11714.7106,12091.03016,12317.09028,12590.24938,12884.686,12394.0494,12838.11854,13625.90085,16942.02681
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,11835.28722,11358.70308,11775.3905,12047.85281,12356.32164,10270.79047,11920.34276,15564.55762,16906.56721
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,7727.919972,8110.55874,8610.608295,8911.46206,9232.261159,9605.261251,7054.6358055,7606.237525,7820.232404
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,19361.813,18944.09615,18938.24405,19119.12439,19220.6867,16356.09336,17980.08884,20501.75228,22192.4453
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,76379.20951,77802.25416,80053.94445,83865.55316,88254.29037,82338.79829,86438.44526,92202.1478,97749.5079
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,23487.22852,24715.1543,26696.99023,29599.98633,29703.05273,28649.01563,33734.29297,33938.94531,36551.41797
