Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.3,20.6,23.2,29.7,36.5,41.2,42.0,41.8,41.9
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.8,10.1,8.62,11.7,16.5,21.6,28.4,29.5,30.5
"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.62,8.12,8.65,11.63,18.6,24.8,33.3,37.5,38.4
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,55.9,58.1,62.3,64.1,65.0,69.8,73.0,72.8,77.3
Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.46,7.94,8.48,13.83,16.4,22.4,30.7,32.8,35.7
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.7,50.3,57.2,59.5,61.9,69.4,70.3,72.8,73.5
Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,59.8,65.9,71.6,73.5,81.2,80.5,82.7,82.6,85.4
Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS,37.3,43.0,57.1,62.7,68.0,71.1,67.6,68.3,71.3
Curacao,CUW,Individuals using the Internet (% of population),IT.NET.USER.ZS,55.03,61.9,68.1,71.77,74.5,78.7,80.53,80.27,84.07
Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.0,79.0,81.1,82.47,85.3,87.23,87.97,89.57,88.63
Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.7,75.9,80.7,84.4,86.1,90.8,90.8,89.6,91.2
Czechia,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,75.7,76.5,78.7,80.7,80.9,81.3,82.7,84.5,86.0
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.6,84.2,84.4,87.0,88.1,89.8,91.4,91.6,92.5
Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.9,30.8,55.7,57.1,58.5,59.9,61.4,63.3,65.0
Dominica,DMA,Individuals using the Internet (% of population),IT.NET.USER.ZS,65.0,67.0,69.6,72.8,73.4,75.7,82.7,83.3,83.8
Denmark,DNK,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.3,97.0,97.1,97.3,98.0,96.5,98.9,97.9,98.8
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.2,63.9,67.6,74.8,79.7,81.6,85.2,81.5,84.6
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.2,42.9,47.7,49.0,55.8,63.5,72.2,74.8,76.9
East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Early-demographic dividend,EAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
East Asia & Pacific,EAS,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Europe & Central Asia,ECS,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Ecuador,ECU,Individuals using the Internet (% of population),IT.NET.USER.ZS,48.9,54.1,55.8,57.5,59.2,70.7,69.1,69.7,72.7
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),IT.NET.USER.ZS,37.8,41.2,45.0,46.9,57.3,71.9,72.1,72.2,72.7
Euro area,EMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Eritrea,ERI,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.08,1.18,2.5,5.3,11.2,14.3,18.4,18.7,20.0
Spain,ESP,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.7,80.6,84.6,86.1,90.7,93.2,93.9,94.5,95.4
Estonia,EST,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.4,87.2,88.1,89.4,90.2,89.1,91.0,91.5,93.2
Ethiopia,ETH,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.9,15.4,15.6,15.9,16.0,16.1,16.7,22.73,26.67
European Union,EUU,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Fragile and conflict affected situations,FCS,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Finland,FIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.4,87.7,87.5,88.9,89.6,92.2,92.8,93.0,93.5
Fiji,FJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.5,49.4,53.6,58.2,63.2,68.6,74.5,78.2,79.3
France,FRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.0,79.3,80.5,82.0,83.3,84.7,86.1,85.3,86.8
Faroe Islands,FRO,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.2,95.1,97.6,98.53,93.67,98.27,99.23,98.9,99.2
"Micronesia, Fed. Sts.",FSM,Individuals using the Internet (% of population),IT.NET.USER.ZS,31.5,33.4,35.3,36.6,38.0,39.4,49.3,52.77,54.13
Gabon,GAB,Individuals using the Internet (% of population),IT.NET.USER.ZS,45.8,48.1,51.6,55.4,59.5,63.9,68.6,70.7,71.9
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.0,94.8,90.4,90.7,92.5,94.8,96.2,96.3,96.3
