Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Canada,CAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.69,1.73,1.69,1.74,1.76,1.93,1.86,1.71,1.711660028,1.711660028
Central Europe and the Baltics,CEB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.14,1.03,1.09,1.19,1.25,1.31,1.33,1.31,1.312223823,1.312223823
Switzerland,CHE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.08,3.08,3.08,3.14,3.2,3.25,3.31,1.0,0.999535024,0.999535024
Channel Islands,CHI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Chile,CHL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.38,0.37,0.36,0.37,0.34,0.34,0.36,1.0,0.999535024,0.999535024
China,CHN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.06,2.1,2.12,2.14,2.24,2.41,2.43,2.56,2.555180073,2.555180073
Cote d'Ivoire,CIV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.07,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Cameroon,CMR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
"Congo, Dem. Rep.",COD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.41,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
"Congo, Rep.",COG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,0.38,0.383390009,0.383390009
Colombia,COL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.37,0.27,0.26,0.31,0.32,0.29,1.04,1.0,0.999535024,0.999535024
Comoros,COM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Cabo Verde,CPV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Costa Rica,CRI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.44,0.44,0.43,0.37,0.35,0.33,0.27,0.34,0.337889999,0.337889999
Caribbean small states,CSS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Cuba,CUB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.43,0.34,0.43,0.54,0.55,0.52,0.32,0.36,0.360119998,0.360119998
Curacao,CUW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Cayman Islands,CYM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Cyprus,CYP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.48,0.52,0.54,0.61,0.71,0.84,0.8,0.75,0.745270014,0.745270014
Czechia,CZE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.92,1.67,1.77,1.9,1.93,1.99,2.0,1.96,1.96420002,1.96420002
Germany,DEU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.93,2.94,3.05,3.11,3.17,3.13,3.13,3.13,3.132359982,3.132359982
Djibouti,DJI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Dominica,DMA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Denmark,DNK,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.05,3.09,2.93,2.97,2.9,2.97,2.76,2.89,2.890510082,2.890510082
Dominican Republic,DOM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Algeria,DZA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.48,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
East Asia & Pacific (excluding high income),EAP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.91,1.9,1.9,1.91,2.02,2.2,2.35,2.51,2.506891429,2.506891429
Early-demographic dividend,EAR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.72,0.75,0.72,0.74,0.76,0.82,1.04,1.0,0.999535024,0.999535024
East Asia & Pacific,EAS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.32,2.34,2.32,2.36,2.39,2.58,2.63,2.82,2.821145145,2.821145145
Europe & Central Asia (excluding high income),ECA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.69,0.8,0.81,0.83,0.83,0.85,0.86,0.81,0.811160103,0.811160103
Europe & Central Asia,ECS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.0,1.98,2.04,2.08,2.13,2.2,2.18,1.97,1.970683237,1.970683237
Ecuador,ECU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
"Egypt, Arab Rep.",EGY,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.72,0.71,0.64,0.69,0.8,0.92,0.91,1.02,1.019680023,1.019680023
Euro area,EMU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.14,2.14,2.18,2.21,2.25,2.33,2.29,2.28,2.278163952,2.278163952
Eritrea,ERI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Spain,ESP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.22,1.19,1.21,1.24,1.25,1.41,1.41,1.44,1.43532002,1.43532002
Estonia,EST,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.47,1.24,1.28,1.41,1.62,1.75,1.77,1.78,1.782050014,1.782050014
