"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Gambia, The","GMB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","71","","269","300","300","350","437","500","438","2740","3570","3750","4000","4430","5000","5000","5000","5690","","",
"Guinea-Bissau","GNB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","1000","1200","1450","1400","1050","886","853","1200","1230","2380","3300","4620","6690","",
"Equatorial Guinea","GNQ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","180","180","180","180","1190","1350","1480","3520","3880","3800","3380","1900","1620","1000","1840","1720","1820","","",
"Greece","GRC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10500","51500","160000","488000","1020000","1510000","1920000","2250000","2460000","2690000","2910000","3160000","3440000","3620000","3780000","3960000","4110000","4260000","4440000","4470000","4480000","",
"Grenada","GRD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","563","","609","3220","5540","7600","8950","12400","14400","14700","16000","18000","18800","19800","20800","22200","27000","31800","32000","30500","34800","","",
"Greenland","GRL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","3320","7130","9220","10500","12000","12500","12400","11900","11400","10800","10400","10000","","12200","13500","14600","15700","16800","17900","","",
"Guatemala","GTM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27100","39000","57000","94500","156000","259000","","280000","353000","434000","460000","506000","531000","","585000","612000","612000","897000","921000","",
"Guam","GUM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1750","","","","","","2700","2700","3000","3000","","","3000","3000","","","","","3000","3000","3000","3040","","",
"Guyana","GUY","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","2360","5080","6820","11200","20500","30000","36900","45200","53700","57200","64900","","83000","95000","95000","106000","","",
"High income","HIC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15733382","36122356","61182712","89709850.33","125842358","169579365","211837589","251158450","280675657","303294473","323618499","341715956","358250655","371750307","382398638","404800000","418300000","435300000","446900000","459200000","478300000","495800000","508800000","522300000","",
"Hong Kong SAR, China","HKG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11000","86500","444000","716000","1040000","1270000","1520000","1660000","1800000","1900000","1940000","2049999.99999999","2170000","2300000","2260000","2240000","2280000","2350000","2630000","2660000","2710000","2800000","2890000","2940000","2980000","2970000","",
"Honduras","HND","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","57300","61300","69000","158000","197000","220000","238000","355000","390000","397000","421000","461000","476000","",
"Heavily indebted poor countries (HIPC)","HPC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111109","211330","322515","382179","483868","678768","909327","1261929","1729695","1974106","2812846","2889526","3162916","4162376","5192103","5783135","4957870","","",
"Croatia","HRV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3400","26200","116000","252000","387000","528000","717000","838000","893000","919000","955000","984000","986000","1040000","1100000","1130000","1150000","1030000","1050000","1080000","1110000","",
"Haiti","HTI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1350","1350","29900","31100","31100","31000","31000","35300","","",
"Hungary","HUN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3400","31400","111000","264000","411000","652000","1200000","1450000","1770000","1980000","2160000","2310000","2400000","2600000","2580000","2720000","2810000","2960000","3080000","3190000","3270000","3380000","3540000","3560000","",
"IBRD only","IBD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1054866","5198903","15069209","34387251","54129393","81040550","114969257","152996284","194761253","234822449","285781650","322908550","351738068","375674777","467200000","527100000","621000000","652900000","712000000","777400000","859400000","935800000","1000700000","",
"IDA & IBRD total","IBT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5210160","15096636","34456333","54274490","81288339","115525232","153912436","196463754","237359292","289212848","327447865","358217912","385557120","480500000","545000000","641300000","675800000","735700000","807100000","894400000","975100000","1043900000","",
"IDA total","IDA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145097","","555975","916152","1702501","2536843","3431198","4539315","6479844","9882343","13200000","17900000","20400000","22900000","23700000","29700000","35000000","39300000","43200000","",
"IDA blend","IDB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69407","","206027","397093","717011","1166900","","2012414","2271052","3249494","4100000","6200000","6800000","7500000","6900000","9700000","12400000","14400000","16800000","",
"Indonesia","IDN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000","15000","38300","61600","84900","108000","194000","779000","982000","1860000","2280000","2740000","2980000","3250000","3400000","3980000","5230000","6220000","8870000","10300000","10800000","12400000","13400000","13500000","",
"IDA only","IDX","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349948","519059","985490","1369943","1889045","2526901","4208792","6632849","9200000","11700000","13600000","15400000","16800000","20000000","22600000","24900000","26400000","",
"Isle of Man","IMN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50000","82400","140000","235000","1350000","2300000","3130000","5280000","7750000","11000000","13400000","15000000","14900000","15800000","16900000","18700000","17900000","18200000","19200000","23000000","27600000","33500000","39300000","",
"Not classified","INX","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10600","41800","152000","323000","562000","759000","891000","976000","1020000","1070000","1110000","1190000","1260000","1310000","1360000","1400000","1430000","1460000","1520000","1580000","1610000","1650000","",
"Iran, Islamic Rep.","IRN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176","661","16200","18700","","","100000","200000","300000","400000","988000","2120000","3800000","5160000","6150000","6610000","7610000","8600000","9810000","8630000","9560000","10700000","10900000","10900000","",
"Iraq","IRQ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","98","54","121","3120","","","","","","","4290000","4490000","4560000","6250000","6390000","6390000","7770000","",
"Iceland","ISL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","2360","10400","24300","41600","55800","78000","87700","100000","106000","107000","109000","112000","113000","117000","120000","124000","128000","135000","138000","139000","142000","143000","142000","145000","",
"Israel","ISR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43900","232000","633000","980000","1230000","1420000","1530000","1680000","1720000","1760000","1880000","1940000","2000000","2130000","2170000","2260000","2340000","2440000","2480000","2600000","2660000","2660000","2760000","",
"Italy","ITA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115000","390000","850000","2250000","4720000","6820000","8500000","10100000","11300000","12100000","13100000","13500000","13800000","14000000","14400000","14900000","15600000","16600000","17200000","17500000","18100000","18700000","18600000","20100000","",
"Jamaica","JAM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3240","9000","9000","27000","45000","68200","92800","97300","112000","117000","118000","123000","141000","152000","229000","286000","239000","285000","318000","386000","414000","425000","448000","",
"Jordan","JOR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","409","3180","5000","10400","23600","48600","88800","146000","238000","293000","297000","300000","328000","352000","310000","297000","332000","400000","457000","631000","715000","796000","805000","",
"Japan","JPN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32000","216000","855000","3840000","9400000","14900000","19600000","23300000","26400000","28300000","30100000","32900000","34100000","35700000","36100000","36900000","37800000","38900000","39800000","40500000","41500000","42500000","44000000","45200000","46100000","47900000","",
"Kazakhstan","KAZ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","998","2000","3000","30500","270000","337000","577000","870000","1190000","1640000","1960000","2150000","2300000","2350000","2580000","2460000","2510000","2620000","2750000","2900000","3590000","",
"Kenya","KEN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5400","17700","17700","3280","18200","6870","54100","54300","74100","102000","135000","133000","288000","371000","491000","674000","789000","1040000","1320000","",
"Kyrgyz Republic","KGZ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","139","1910","2290","2760","3120","19000","17400","23100","39000","54600","136000","171000","212000","241000","258000","251000","269000","289000","302000","390000","456000","",
"Cambodia","KHM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","419","780","1000","2900","8450","16600","30000","35700","22000","29700","32600","66100","83500","97600","134000","166000","184000","234000","336000","510000","","",
"Kiribati","KIR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","322","402","504","685","765","846","850","800","700","500","117","110","111","87","105","185","111","90","440","",
"St. Kitts and Nevis","KNA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","2000","4400","6500","8800","9600","11100","13000","14600","12600","13000","13300","14000","16400","14200","29300","16400","20400","21500","20100","21800","","",
"Korea, Rep.","KOR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000","278000","3870000","7820000","10400000","11200000","11900000","12200000","14000000","14700000","15500000","16300000","17200000","17900000","18300000","18700000","19200000","20000000","20600000","21200000","21300000","21800000","22300000","22900000","23500000","24100000","",
"Kuwait","KWT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000","10500","13000","20000","25000","30000","35000","40000","45000","46000","47000","47000","47000","48000","55000","101000","118000","104000","84600","73900","70500","62600","49000","",
"Latin America & Caribbean (excluding high income)","LAC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125880","497926","1217393","1894207","5274482","7053478","10959800","17214871","24174506","29304024","34189800","40788819","45670709","49989754","54419917","59264966","63392441","68318078","73447526","77930829","87615313","96941561","101323399","","",
"Lao PDR","LAO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","50","314","741","1140","2900","4320","5890","6550","7580","9030","16100","14600","24400","27200","45400","76300","123000","151000","183000","","",
"Lebanon","LBN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","50000","100000","197000","331000","402000","476000","480000","1130000","","","","","420000","432000","432000","419000","","",
"Liberia","LBR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","150","186","63","524","5080","6000","7000","8000","9000","","11000","13000","13000","14800","","",
"Libya","LBY","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46200","63000","72800","70000","67300","64700","62800","61000","169000","318000","","318000","332000","332000","326000","","",
"St. Lucia","LCA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1400","3800","7000","7180","11100","15500","18600","20500","21300","24600","24700","28200","28400","29800","31800","32299.9999999999","15800","35600","19100","24300","","",
"Latin America & Caribbean","LCN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138033","615622","1527181","2475357","6154798","8388283","12978925","20011773","27808515","33700979","39176294","46277176","51786998","56674718","61640205","67100000","71500000","76700000","82700000","86800000","97100000","107800000","115800000","120800000","",
"Least developed countries: UN classification","LDC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217048","299629","630473","894974","1120473","1547257","2909190","4906838","7127078","8901679","9990762","11193032","12442892","15327743","17110575","16627031","","",
"Low income","LIC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87935","123883","147061","267253","412647","676929","1101193","1603877","2000000","2300000","2200000","2300000","2600000","2900000","3100000","3400000","3500000","",
"Liechtenstein","LIE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1440","1500","4740","8620","10000","14200","15600","16000","15300","13600","14400","15000","15600","15700","15900","16300","16700","17200","18100","18600","19200","19700","",
"Sri Lanka","LKA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","327","592","3420","20500","21000","22900","63300","102000","170000","228000","359000","354000","424000","568000","626000","892000","1220000","1540000","1670000","1780000","2390000","2200000","2009999.99999999","",
"Lower middle income","LMC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171074","293593","595581","2233623","4056469","6614706","10914955","16619508","19986563","25812576","30236065","33120224","39373931","45000000","53500000","59000000","65900000","73800000","89300000","105500000","118300000","129800000","",
"Low & middle income","LMY","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","928730","4782160","13843905","31995184","49900073","71936967","100964628","133140670","169606664","206477109","254466893","288621711","315560091","340684990","432753986","495944019","587717870","619173352","678983202","748864209","832439713","901581012","","",
"Lesotho","LSO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","45","","110","140","400","400","1340","1640","2280","1500","2060","2230","4820","5760","4620","5060","8000","9090","8870","",
"Late-demographic dividend","LTE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143827","833189","4608870","13851798","31723248","47534448","69293663","96093112","124539437","156703747","189222451","230611710","258875194","281816667","301725936","385464311","437059320","521640326","543560449","593475820","639870557","705520735","769017973","","",
"Lithuania","LTU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2430","20000","66800","129000","234000","369000","559000","590000","634000","679000","728000","769000","836000","802000","833000","858000","799000","789000","790000","797000","802000","809000","806000","",
"Luxembourg","LUX","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220","5830","15400","36500","70100","98900","129000","143000","156000","168000","170000","170000","177000","187000","195000","203000","215000","224000","232000","235000","244000","250000","","",
"Latvia","LVA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","284","3240","10000","19500","49100","60800","110000","339000","412000","455000","435000","457000","476000","496000","505000","504000","519000","526000","526000","509000","491000","490000","489000","489000","",
"Macao SAR, China","MAC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3730","9790","17000","27800","45200","68000","92200","110000","122000","126000","132000","138000","145000","152000","161000","170000","178000","186000","193000","200000","208000","206000","209000","212000","",
"St. Martin (French part)","MAF","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","2710","64700","249000","392000","477000","493000","480000","504000","595000","690000","844000","993000","1150000","1260000","1380000","1550000","1750000","2100000","2270000","2420000","","",
"Monaco","MCO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","2660","4900","6540","7610","9500","11000","12300","13000","13400","13800","15900","16300","16900","17800","18400","18600","19300","19700","20500","20900","21200","21500","21800","",
"Moldova","MDA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239","418","597","2430","10400","21800","52800","115000","188000","271000","356000","419000","469000","509000","534000","557000","584000","623000","671000","719000","762000","800000","841000","",
"Madagascar","MDG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1360","2350","3490","4580","5390","6850","31100","38000","24800","23700","26400","25100","27200","30000","32000","30900","32700","33600","",
"Maldives","MDV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","503","717","3260","6270","10400","15400","15400","15600","17600","18100","20400","19800","23200","29300","36500","47400","53200","63700","76500","91200","98500","",
"Middle East & North Africa","MEA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","388878","857526","","2141398","3116409","4577861","6267066","8075140","9979597","12674252","16127317","16092918","19129367","26900000","29900000","39200000","42800000","44300000","51100000","57900000","63600000","68700000","",
"Mexico","MEX","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15000","50000","231000","428000","1060000","1920000","3020000","4500000","7530000","9640000","10600000","11600000","13100000","12700000","13000000","14800000","15900000","17000000","18400000","19400000","22500000","24600000","26300000","26600000","",
"Marshall Islands","MHL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280","1370","1000","1000","1000","1000","1000","1000","942","942","","",
"Middle income","MIC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","928730","4782110","13843634","31992003","49891224","71914519","100876693","133016787","169459603","206209856","254054246","287944782","314458898","339081113","430725244","493662706","585497938","617118529","676411607","745988937","829308024","900352372","","",
"North Macedonia","MKD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12400","36500","101000","181000","233000","259000","282000","312000","338000","354000","364000","382000","396000","428000","454000","476000","499000","515000","","",
"Mali","MLI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3090","3200","5270","8240","8020","8480","4320","2910","","3500","21400","15400","121000","143000","244000","145000","179000","","",
"Malta","MLT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1660","9160","17700","22700","37600","51400","52900","84000","98200","114000","126000","129000","136000","143000","152000","163000","171000","181000","192000","203000","213000","221000","229000","236000","",
"Myanmar","MMR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243","3960","6470","10000","23200","23000","21900","","","","32900","89700","112000","129000","486000","689000","893000","1130000","1510000","",
"Middle East & North Africa (excluding high income)","MNA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99517","","","1048199","1751360","2606940","3739938","5188037","7266781","9918582","12188141","15016940","16219582","18930022","26342911","29061340","30746369","36116698","39718065","38524470","","",
"Montenegro","MNE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7670","","17900","39700","59300","64700","64700","87800","95700","104000","112000","115000","137000","159000","179000","184000","188000","196000","203000","",
"Mongolia","MNG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","90","500","900","1800","3500","7400","32500","40100","76800","94100","110000","140000","197000","208000","226000","285000","306000","318000","308000","380000","437000","499000","",
"Northern Mariana Islands","MNP","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2200","6370","11100","13700","17300","28400","29400","28900","37000","42600","46600","61600","70100","70000","70000","65500","64599.9999999999","","",
"Mauritania","MRT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164","973","4000","5880","6780","5810","6120","6700","7530","8000","9640","11100","12600","13200","10800","18500","19200","13900","","",
"Mauritius","MUS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285","1180","2560","5400","27900","35100","52500","72900","93900","118000","141000","162000","182000","197000","213000","246000","275000","307000","323000","329000","334000","343000","",
"Malawi","MWI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","138","404","","934","986","1030","1090","1730","1240","8780","8560","5860","8690","10800","11400","11400","12300","13400","14900","16800","",
"Malaysia","MYS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000","19300","110000","253000","483000","751000","1040000","1330000","1550000","2100000","2510000","2920000","2940000","3060000","3060000","2720000","2690000","2700000","2960000","3360000","3730000","4220000","4580000","",
"North America","NAC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","845900","3336286","8480806","15628812","23396549","32257342","42768520","58178837","68305344","80808121","87006258","90322000","95379203","99599579","104203914","108166561","110412731","115400000","119100000","122100000","125200000","129500000","136800000","141900000","144400000","147700000","",
"Namibia","NAM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134","198","256","320","477","9440","17600","24100","35700","41200","70400","64300","65800","62900","69000","78800","89300","95100","104000","",
"New Caledonia","NCL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132","700","1670","5150","9600","15600","20300","25500","33100","38200","42800","47900","53600","58300","55400","","","","55000","55000","55000","55600","","",
"Niger","NER","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","212","347","482","617","1000","1500","2110","3670","6400","30000","27200","7710","8650","","11000","12000","12000","13700","","",
"Nigeria","NGA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","53600","67800","82000","99100","","14300","15000","15700","15700","108000","111000","74000","83400","65300","65900","96800","117000","",
"Nicaragua","NIC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","1600","2320","4400","5000","10500","19000","27600","43200","78700","73300","85100","101000","132000","111000","116000","177000","210000","192000","218000","290000","300000","337000","371000","",
"Netherlands","NLD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75500","","260000","466000","1170000","1990000","3210000","4099999.99999999","5190000","5510000","5810000","6130000","6330000","6500000","6650000","6790000","6850000","7030000","7220000","7290000","7410000","7460000","7530000","7610000","7800000","7830000","",
"Norway","NOR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23300","88500","205000","399000","672000","991000","1240000","1460000","1580000","1670000","1720000","1790000","1860000","1910000","1980000","2049999.99999999","2110000","2170000","2210000","2260000","2390000","2430000","2490000","","",
"Nepal","NPL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","963","11000","12000","17100","60200","94700","231000","311000","251000","303000","224000","503000","792000","1030000","1270000","1270000","1440000","","",
"Nauru","NRU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","950","","","","","","","","","","","","1180","","",
