"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43700","50000","317000","415000","469000","600000","1530000","3090000","4890000","6590000","7300000","8050000","8090000","10100000","11100000","12100000","12900000","",
"Bulgaria","BGR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6650","165000","385000","629000","844000","998000","1120000","1260000","1330000","1420000","1480000","1610000","1700000","1800000","1900000","2009999.99999999","2120000","2250000","2390000","2450000","",
"Bahrain","BHR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1180","4980","9740","15000","21400","38600","68300","93600","140000","155000","292000","295000","300000","288000","253000","232000","194000","126000","141000","151000","248000","276000","268000","",
"Bahamas, The","BHS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4140","7540","10900","12800","13400","16600","20500","25500","31600","24700","15500","77900","72500","77200","81000","85100","86900","81200","82300","83000","82200","84000","95100","",
"Bosnia and Herzegovina","BIH","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","68","213","1500","6640","13700","40000","84700","188000","292000","391000","430000","469000","516000","542000","635000","662000","700000","716000","746000","770000","798000","876000","908000","",
"Belarus","BLR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","123","750","1560","11400","170000","478000","1090000","1670000","2100000","2530000","2790000","2680000","2900000","3070000","3160000","3200000","3210000","3260000","3240000","3130000","3200000","",
"Belize","BLZ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","940","2830","5020","7250","7480","8050","8340","8920","9700","9970","9900","9900","17400","18400","19000","24700","29600","36000","36000","39300","","",
"Bermuda","BMU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18500","23600","28800","34000","40000","40100","","","40100","34700","30000","22800","22800","","23000","23000","23000","23000","","",
"Bolivia","BOL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3330","5740","8720","13000","17600","34000","79300","96100","95900","73500","117000","154000","173000","181000","288000","380000","504000","747000","932000","1130000","1330000","","",
"Brazil","BRA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","7000","100000","331000","731000","966000","3160000","3230000","4770000","7610000","10000000","11700000","14100000","17800000","19100000","21400000","24000000","25500000","26900000","28900000","31200000","32900000","36300000","41600000","45300000","48400000","",
